title,info,links,timestamp,status,rating,comment,tags
迷途之子!!!!!,imdb:tt27479417 year:2023,https://neodb.social/tv/73MpSbwIWGNBEhIynRskhA https://www.imdb.com/title/tt27479417/ https://eggplant.place/tv/2CkOx3kcqY81jkndieqOzb https://www.themoviedb.org/tv/224207 https://www.wikidata.org/wiki/Q118329914,2025-01-22T16:00:00+00:00,complete,10,1月23日00:50:19,
水果篮子,imdb:tt9304350 year:2019,https://neodb.social/tv/1jcN2Tj9PIlB36OjWtTvlb https://www.imdb.com/title/tt9304350/ https://www.wikidata.org/wiki/Q90394739 https://www.themoviedb.org/tv/85991,2025-01-27T16:00:00+00:00,wishlist,,,
境界的彼方,imdb:tt3114376 year:2013,https://neodb.social/tv/1HJJ1FxIqTYyBev2lLLTZ4 https://www.themoviedb.org/tv/61695 https://www.imdb.com/title/tt3114376/ https://www.wikidata.org/wiki/Q131927631,2025-02-06T16:00:00+00:00,complete,8,补，初二看的,
我不受欢迎，怎么想都是你们的错！,imdb:tt2963556 year:2013,https://neodb.social/tv/0W5KbzuQrwgHQfx2LPznED https://www.wikidata.org/wiki/Q101129923 https://www.imdb.com/title/tt2963556/ https://www.themoviedb.org/tv/61755,2025-02-20T16:00:00+00:00,wishlist,,,
Lycoris Recoil,imdb:tt16755706 year:2022,https://neodb.social/tv/44dhebrxJeXcF7aSGSaN81 https://www.wikidata.org/wiki/Q110361884 https://www.themoviedb.org/tv/154494 https://bridge.neodb.net/catalog/tv_show/imdbId-tt16755706 https://www.imdb.com/title/tt16755706/,2025-03-24T16:00:00+00:00,complete,10,"3月25日23:47:08
神作",
颂乐人偶,imdb:tt29135397 year:2025,https://neodb.social/tv/5wwEZln4AngImoIbNaYVSZ https://www.wikidata.org/wiki/Q122538117 https://www.imdb.com/title/tt29135397/ https://www.themoviedb.org/tv/274580 https://eggplant.place/tv/7BgGIYSBZuuLOPbWmtJ7eL,2025-03-26T16:00:00+00:00,complete,2,"第一次打一星
难忘的追番经历",
世界奇妙物语,imdb:tt1466867 year:1990,https://neodb.social/tv/3B0pD9HdJ01qHdV0b3qXqb https://www.wikidata.org/wiki/Q5369187 https://www.imdb.com/title/tt1466867/ https://www.themoviedb.org/tv/71488,2025-04-23T16:00:00+00:00,wishlist,,,
mono女孩,imdb:tt35436997 year:2025,https://neodb.social/tv/2IN1YJmCrQH2tOPrd3I1ca https://www.wikidata.org/wiki/Q125054368 https://www.imdb.com/title/tt35436997/ https://www.themoviedb.org/tv/249854,2025-05-12T16:00:00+00:00,wishlist,,,
末日后酒店,imdb:tt35636155 year:2025,https://neodb.social/tv/0p2RAeboBioYJR9jFCWugD https://www.wikidata.org/wiki/Q129978638 https://www.imdb.com/title/tt35636155/ https://www.themoviedb.org/tv/262929 https://eggplant.place/tv/2835TUKCEs9nHi8ikcB9gh https://bridge.neodb.net/catalog/tv_show/imdbId-tt35636155,2025-05-13T16:00:00+00:00,wishlist,,,
Lycoris Recoil: Friends are thieves of time.,imdb:tt36590617 year:2025,https://neodb.social/tv/0iaRfY9fWa2VFr7cvoX5TM https://www.imdb.com/title/tt36590617/,2025-05-27T16:00:00+00:00,complete,10,"还是日常好哇
为什么不出一万集的日常给我看呜呜呜",
博多豚骨拉面团,imdb:tt8129662 year:2018,https://neodb.social/tv/2wFltQIoWTBh3CUVRv9e0F https://www.wikidata.org/wiki/Q63457439 https://www.imdb.com/title/tt8129662/ https://www.themoviedb.org/tv/76126,2025-06-29T16:00:00+00:00,wishlist,,,
豺狼的日子,imdb:tt24053860 year:2024 director:/person/4Fc91zkXVBKWpbJqVOzypP,https://neodb.social/tv/0bvXfrzt5ARhgsCY4QBB6Y https://www.wikidata.org/wiki/Q123384263 https://www.themoviedb.org/tv/222766 https://www.imdb.com/title/tt24053860/ https://bridge.neodb.net/catalog/tv_show/tmdbId-222766,2025-08-26T16:00:00+00:00,wishlist,,,
热点,imdb:tt35377276 year:2025 director:笨蛋节奏,https://neodb.social/tv/1ZFavTIuyuV46SutlsNRGe https://www.imdb.com/title/tt35377276/ https://www.wikidata.org/wiki/Q131701465 https://www.themoviedb.org/tv/276903,2025-09-03T16:00:00+00:00,wishlist,,,
重启人生,imdb:tt26134148 year:2023,https://neodb.social/tv/6E9h8mkZ3y4PrZ2O3UTUqT https://www.themoviedb.org/tv/215197 https://www.imdb.com/title/tt26134148/,2025-09-03T16:00:00+00:00,wishlist,,,
我们不可能成为恋人！绝对不行。 (※似乎可行？),imdb:tt36592708 year:2025,https://neodb.social/tv/1yxnm79oB2Dp6L91utjjKJ https://www.wikidata.org/wiki/Q131285787 https://www.imdb.com/title/tt36592708/ https://www.themoviedb.org/tv/277513,2025-09-25T16:00:00+00:00,complete,8,"9月26日00:17:07
好喜欢紫阳花篇的这几集
紫阳花一开始无感后面越看越喜欢呢
期待十一月的续篇",
四月一日灵异事件簿,imdb:tt0488477 year:2006,https://neodb.social/tv/5oRlry3Pu8WqayEy0NOWC7 https://www.themoviedb.org/tv/36250 https://www.wikidata.org/wiki/Q116695507 https://www.imdb.com/title/tt0488477/ https://bridge.neodb.net/catalog/tv_show/imdbId-tt0488477,2025-11-21T16:00:00+00:00,wishlist,,,
时光流逝，饭菜依旧美味,imdb:tt36269978 year:2025,https://neodb.social/tv/4vILs2ReCChMjDhKQnOcep https://bridge.neodb.net/catalog/tv_show/imdbId-tt36269978 https://www.imdb.com/title/tt36269978/ https://www.themoviedb.org/tv/281042,2025-12-17T16:00:00+00:00,complete,8,"12月17日
花了好长时间，偶尔看一集，终于看完了
没有什么特殊的感觉，很不错的日常番",
章鱼哔的原罪,imdb:tt36988358 year:2025,https://neodb.social/tv/3cTilD1wZTJta2rml9yEp8 https://www.wikidata.org/wiki/Q131414367 https://www.imdb.com/title/tt36988358/ https://www.themoviedb.org/tv/284445 https://bridge.neodb.net/catalog/tv_show/imdbId-tt36988358,2025-12-20T16:00:00+00:00,complete,10,12月20日晚,
暗黑破坏神在身边。,year:2020 director:浊川敦/嵯峨敏/星野真/南康宏/粟井重纪,https://neodb.social/tv/season/7KOf9jFgjmzE5g9pmGuVmu https://movie.douban.com/subject/30328752/,2025-12-23T16:00:00+00:00,wishlist,,,
琉璃的宝石,imdb:tt37113118 year:2025,https://neodb.social/tv/0dQnE3CdLpx1Ja609dDB3Z https://www.imdb.com/title/tt37113118/ https://www.wikidata.org/wiki/Q130272456 https://www.themoviedb.org/tv/271649,2025-12-25T16:00:00+00:00,wishlist,,,
这个美术部有问题！,imdb:tt5903040 year:2016 director:及川启/池端隆史/平峰义大/岩崎光洋/山本天志/冈村正弘/直谷隆/中田诚,https://neodb.social/tv/season/4VG50NqArbZUHP7wtbUQ17 https://bgm.tv/subject/150746 https://movie.douban.com/subject/26655965/,2026-04-06T07:23:53.408618+00:00,complete,8,很不错的作品，也许有空闲会去看看漫画,
白箱,imdb:tt3985228 year:2014,https://neodb.social/tv/3BJ9AxyM2z10thVAVYd5Tx https://www.imdb.com/title/tt3985228/ https://www.themoviedb.org/tv/64492 https://www.wikidata.org/wiki/Q17903715,2026-06-15T16:00:00+00:00,complete,8,,
白箱,imdb:tt3985228 year:2014 season_number:1 director:/person/6EC0lepJRXzA4kv2Fbw2yK/今泉贤一/菱川直树/湖山祯崇//person/7JnM54lCrRASiVBRRrmQ8v//person/5OTjar5SOQku3LWpEVruWP//person/05XcF3hakSOPe81wg4Lmlp/太田知章/高岛大辅/小森香织/仓川英扬//person/7ZogkzNaKSfCh2p3Ih89Us/菅沼芙实彦,https://neodb.social/tv/season/4w56ReWydrY9MLKiasBke6 https://bgm.tv/subject/110467 https://movie.douban.com/subject/25955381/ https://www.themoviedb.org/tv/64492/season/1,2026-06-16T07:25:31.210130+00:00,complete,8,"隔了几天之后三天4集+6集+4集一口气看完了，还剩两个ova和剧场版没有看
非常有意思",
异国日记,imdb:tt32336365 year:2026,https://neodb.social/tv/6eja39p5HBqWJiiQZcumqo https://www.themoviedb.org/tv/253476 https://www.imdb.com/title/tt32336365/ https://www.wikidata.org/wiki/Q125760077,2026-06-26T16:00:00+00:00,complete,8,,
